iter	RMSE
412	1.130690337
413	1.130416695
414	1.130386459
415	1.130258265
416	1.130212496
417	1.130119226
418	1.130085665
419	1.130063926
420	1.130031606
421	1.129973528
422	1.129898447
423	1.129888721
424	1.129830804
425	1.129769329
426	1.129706299
427	1.129654389
428	1.129630413
429	1.129499833
430	1.129464386
431	1.129418623
432	1.129388939
433	1.129310232
434	1.129184092
435	1.129175391
436	1.128807375
437	1.128771922
438	1.128603386
439	1.128519563
440	1.128481357
441	1.128267598
442	1.127989494
443	1.127939972
444	1.127679378
445	1.12763897
446	1.127602023
447	1.127500867
448	1.127410699
449	1.127373363
450	1.127303693
451	1.127101777
452	1.127082057
453	1.127038191
454	1.127004398
455	1.126966374
456	1.126931179
457	1.126900128
458	1.126610217
459	1.126457973
460	1.126363208
461	1.12618399
462	1.126116877
463	1.125933148
464	1.125907275
465	1.12582585
466	1.125811851
467	1.125798431
468	1.125750908
469	1.125604328
470	1.125587141
471	1.125535553
472	1.125522
473	1.125310627
474	1.125046462
475	1.124896898
476	1.124805578
477	1.124350847
478	1.124203554
479	1.124126922
480	1.124068013
481	1.123996882
482	1.123821224
483	1.123761103
484	1.123696282
485	1.123603771
486	1.123489418
487	1.123290905
488	1.123194298
489	1.123129631
490	1.12312226
491	1.123060904
492	1.122925428
493	1.122777328
494	1.122684126
495	1.122627028
496	1.1225626
497	1.122534318
498	1.12241263
499	1.122287829
500	1.121970373
501	1.121935479
502	1.121829392
503	1.121748015
504	1.121650687
505	1.121553146
506	1.121353458
507	1.121283386
508	1.121108958
509	1.121048112
510	1.12069291
511	1.120582262
512	1.120505256
513	1.120196299
514	1.119792765
515	1.119592698
516	1.119389128
517	1.119229908
518	1.118789136
519	1.118637941
520	1.118475106
521	1.118249621
522	1.118171996
523	1.118028897
524	1.117933769
525	1.117922456
526	1.117881456
527	1.117868601
528	1.117780847
529	1.117723753
530	1.117691976
531	1.117523836
532	1.117436387
533	1.117279671
534	1.117008115
535	1.11693057
536	1.116698022
537	1.116586586
538	1.116575832
539	1.116231975
540	1.116203282
541	1.116172056
542	1.116113015
543	1.116080745
544	1.11600389
545	1.115980936
546	1.115712886
547	1.115510499
548	1.11526618
549	1.115073936
550	1.114942502
551	1.114655465
552	1.114556766
553	1.114515465
554	1.114255512
555	1.114230002
556	1.113878236
557	1.113829925
558	1.113767015
559	1.113589142
560	1.113498284
561	1.113420519
562	1.113244656
563	1.113191884
564	1.113071213
565	1.113020018
566	1.112894549
567	1.112767245
568	1.112677626
569	1.112558412
570	1.112462468
571	1.112438013
572	1.1123381
573	1.112293658
574	1.112250385
575	1.11222498
576	1.112048643
577	1.11188104
578	1.111710048
579	1.11154231
580	1.111530976
581	1.111457619
582	1.11124943
583	1.111132422
584	1.111123384
585	1.111003353
586	1.110980868
587	1.110790356
588	1.110675685
589	1.110618497
590	1.110471901
591	1.110233055
592	1.11009643
593	1.110002793
594	1.109927263
595	1.109880451
596	1.109837954
597	1.109705923
598	1.109618854
599	1.109530592
600	1.109520847
601	1.109443534
602	1.109304194
603	1.10920609
604	1.109132074
605	1.109077111
606	1.108905765
607	1.108687124
608	1.108652124
609	1.108590814
610	1.108476194
611	1.10837548
612	1.10818262
613	1.108101923
614	1.107959246
615	1.107898878
616	1.107847516
617	1.107719458
618	1.107569414
619	1.10752541
620	1.10746765
621	1.107389335
622	1.107336605
623	1.107327969
624	1.107186377
625	1.107087314
626	1.107059237
627	1.107043211
628	1.106970754
629	1.106846989
630	1.106778371
631	1.10675572
632	1.106625646
633	1.106605717
634	1.106520073
635	1.106369997
636	1.106315579
637	1.106181937
638	1.106167171
639	1.106132907
640	1.106037592
641	1.10602644
642	1.106008888
643	1.105965404
644	1.105722136
645	1.10568159
646	1.105419127
647	1.105379709
648	1.10528049
649	1.1052228
650	1.10517061
651	1.105050682
652	1.105032692
653	1.104962061
654	1.104944477
655	1.104940066
656	1.104873706
657	1.104855672
658	1.104727842
659	1.104641462
660	1.104586168
661	1.10438004
662	1.104318393
663	1.104289651
664	1.104094515
665	1.103993432
666	1.103894072
667	1.103884506
668	1.103833171
669	1.103796628
670	1.103621111
671	1.103507337
672	1.103496205
673	1.103389641
674	1.103361142
675	1.103264816
676	1.102966851
677	1.102789201
678	1.10264874
679	1.102581828
680	1.102504297
681	1.102407346
682	1.102306925
683	1.102225923
684	1.10221772
685	1.102018334
686	1.101959707
687	1.101895894
688	1.101795104
689	1.101645336
690	1.101430394
691	1.10129406
692	1.101198152
693	1.101157933
694	1.101150043
695	1.101138984
696	1.101096681
697	1.101070935
698	1.100931969
699	1.100860808
